1,NDLS,NEW DELHI,1,--,16:25,--,0,1
2,CNB,KANPUR CENTRAL,1,21:12,21:17,5:00,440,1
3,DDU,DD UPADHYAYA JN,1,2:20,2:30,10:00,787,2
4,GAYA,GAYA JN,1,4:30,4:33,3:00,990,2
5,DHN,DHANBAD JN,1,7:03,7:08,5:00,1189,2
6,ASN,ASANSOL JN,1,7:54,7:56,2:00,1247,2
7,DGR,DURGAPUR,1,8:24,8:26,2:00,1289,2
8,SDAH,SEALDAH,1,10:55,--,--,1454,2
